content_key,show_title,category,first_week,last_week,first_cumulative,max_cumulative,right_censored,long_hit,first_rank,first_week_hours,log_first_week_hours,initial_country_reach
The War Next-door: Season 1,The War Next-door,TV (Non-English),2021-07-11,2021-07-25,1,3,False,0,4,13970000,16.452422802815104,11.0
Tiger King 2,Tiger King,TV (English),2021-11-21,2021-11-28,1,2,False,0,2,30030000,17.217707473259544,16.0
Titans: Season 1,Titans,TV (English),2021-12-19,2021-12-19,1,1,False,0,8,10340000,16.15153052375635,10.0
Titans: Season 3,Titans,TV (English),2021-12-12,2021-12-26,1,3,False,0,2,26000000,17.073607134447293,69.0
Too Hot to Handle: Brazil: Season 1,Too Hot to Handle: Brazil,TV (Non-English),2021-07-25,2021-08-08,1,3,False,0,6,9450000,16.061525405290027,13.0
Too Hot to Handle: Season 2,Too Hot to Handle,TV (English),2021-07-04,2021-07-18,1,3,False,0,2,62150000,17.945061392011098,76.0
Top Secret UFO Projects: Declassified: Season 1,Top Secret UFO Projects: Declassified,TV (English),2021-08-08,2021-08-08,1,1,False,0,7,17040000,16.651074138050888,22.0
True Story: Limited Series,True Story,TV (English),2021-11-28,2021-12-12,1,3,False,0,1,48850000,17.704264956923893,62.0
Turning Point: 9/11 and the War on Terror: Season 1,Turning Point: 9/11 and the War on Terror,TV (English),2021-09-05,2021-09-19,1,3,False,0,3,24050000,16.995645596096086,39.0
Valeria: Season 2,Valeria,TV (Non-English),2021-08-15,2021-08-29,1,3,False,0,9,9600000,16.077273760604726,8.0
Virgin River: Season 1,Virgin River,TV (English),2021-07-11,2021-07-25,1,3,False,0,8,13590000,16.42484485971084,3.0
Virgin River: Season 2,Virgin River,TV (English),2021-07-18,2021-07-25,1,2,False,0,9,17000000,16.648723960844016,5.0
Virgin River: Season 3,Virgin River,TV (English),2021-07-11,2021-08-15,1,6,False,1,2,62580000,17.951956312184556,67.0
WWII in Color: Road to Victory: Season 1,WWII in Color: Road to Victory,TV (English),2021-12-26,2022-01-02,1,2,False,0,7,9510000,16.067854539674038,17.0
Where is Marta?: Limited Series,Where is Marta?,TV (Non-English),2021-11-14,2021-11-14,1,1,False,0,6,8640000,15.971913256520972,1.0
"Yo soy Betty, la fea: Season 1","Yo soy Betty, la fea",TV (Non-English),2021-08-29,2021-12-19,1,8,False,1,10,7340000,15.80884953683047,15.0
You: Season 1,You,TV (English),2021-10-17,2021-11-14,1,5,False,1,5,23050000,16.953176370790878,29.0
You: Season 2,You,TV (English),2021-10-24,2021-11-21,1,5,False,1,5,33120000,17.315647917674568,1.0
You: Season 3,You,TV (English),2021-10-17,2021-12-05,1,8,False,1,1,133120000,18.70676154254919,91.0
Young Royals: Season 1,Young Royals,TV (Non-English),2021-07-11,2021-07-11,1,1,False,0,8,9820000,16.099931782163637,2.0
